"Date","Time","Open","High","Low","Close","Up","Down"
02/16/2018,05:30:42,332.50,332.65,332.00,332.65,50671,8272
02/16/2018,05:31:24,332.54,333.21,332.35,332.82,7617,6665
02/16/2018,05:32:11,332.91,333.14,332.38,332.60,5883,8550
02/16/2018,05:33:16,332.60,332.60,331.73,331.95,21051,11176
02/16/2018,05:34:13,331.88,332.37,331.64,332.15,10298,8236
02/16/2018,05:34:39,332.14,332.82,332.12,332.62,8079,4250
02/16/2018,05:35:13,332.61,334.00,332.61,333.98,9665,71577
02/16/2018,05:35:43,333.93,334.74,333.70,334.53,6755,13470
02/16/2018,05:36:10,334.75,335.20,334.54,334.87,15733,4583
02/16/2018,05:36:45,334.87,335.28,334.70,335.28,10591,11822
02/16/2018,05:37:20,335.28,335.80,334.87,335.39,8050,6043
02/16/2018,05:38:07,335.58,336.00,335.24,336.00,12417,9047
02/16/2018,05:38:37,336.00,336.49,335.98,336.37,14487,7513
02/16/2018,05:39:15,336.27,336.42,335.77,335.78,8203,6129
02/16/2018,05:39:59,335.82,335.96,335.26,335.66,9379,6500
02/16/2018,05:41:44,335.74,335.94,335.31,335.51,6668,6600
02/16/2018,05:43:19,335.65,335.80,335.12,335.43,6474,19887
02/16/2018,05:44:30,335.41,335.66,334.65,334.77,6424,13335
02/16/2018,05:45:11,334.77,335.16,334.32,334.63,6284,7145
02/16/2018,05:46:02,334.62,335.98,334.47,335.95,11821,5355
02/16/2018,05:47:03,335.81,336.07,335.61,335.62,8749,8195
02/16/2018,05:48:58,335.62,336.27,335.21,336.12,11213,6670
02/16/2018,05:50:18,336.02,336.40,335.75,335.76,7200,8913
02/16/2018,05:51:14,335.76,337.14,335.75,336.93,11042,5875
02/16/2018,05:51:41,336.95,337.95,336.88,337.94,10225,6240
02/16/2018,05:51:52,337.95,338.00,337.70,338.00,6999,6385
02/16/2018,05:52:19,338.00,338.22,337.13,337.16,8262,9447
02/16/2018,05:54:06,337.15,337.64,337.04,337.57,14256,8228
02/16/2018,05:54:55,337.57,337.75,337.20,337.34,7329,8612
02/16/2018,05:55:45,337.31,337.94,337.29,337.73,9242,5292
02/16/2018,05:56:37,337.42,338.25,337.42,338.25,8552,7925
02/16/2018,05:57:17,338.22,338.30,337.79,337.79,10704,7533
02/16/2018,05:58:41,337.78,337.78,337.00,337.00,10055,8879
02/16/2018,05:59:55,337.00,337.35,336.50,336.53,7400,11626
02/16/2018,06:00:17,336.72,337.02,336.04,336.04,6133,8087
02/16/2018,06:01:06,336.07,336.62,336.00,336.22,8470,6690
02/16/2018,06:02:22,336.22,336.88,336.18,336.54,7709,5959
02/16/2018,06:03:56,336.51,336.57,335.91,336.07,6705,8243
02/16/2018,06:04:58,336.07,336.29,335.77,335.77,8438,8606
02/16/2018,06:05:12,335.79,335.80,334.71,334.96,4320,17792
02/16/2018,06:05:47,334.97,335.03,334.50,334.80,8328,11060
02/16/2018,06:07:19,334.98,334.99,334.53,334.77,10678,10647
02/16/2018,06:08:23,334.80,334.98,334.12,334.12,5600,16772
02/16/2018,06:09:31,334.09,335.65,333.85,335.65,11579,15027
02/16/2018,06:10:27,335.65,336.50,335.58,336.29,14207,10484
02/16/2018,06:11:32,336.30,336.74,335.91,335.91,5375,10114
02/16/2018,06:13:06,335.86,336.07,335.33,335.89,9450,7467
02/16/2018,06:15:32,335.87,336.50,335.27,336.50,12448,8802
02/16/2018,06:16:43,336.50,336.95,336.41,336.95,8628,6913
02/16/2018,06:18:32,336.94,337.00,336.51,337.00,14343,4282
02/16/2018,06:20:11,337.00,337.19,336.64,336.97,17572,10357
02/16/2018,06:22:40,336.97,337.74,336.97,337.54,11577,7694
02/16/2018,06:24:47,337.59,337.75,336.58,337.00,9811,11926
02/16/2018,06:27:01,336.99,337.52,336.74,337.39,7775,11955
02/16/2018,06:28:26,337.38,338.01,337.38,337.93,15660,7960
02/16/2018,06:29:56,337.88,337.97,337.45,337.90,7479,7185
02/16/2018,06:31:14,337.88,338.48,337.76,338.45,12545,8550
02/16/2018,06:32:11,338.42,339.00,338.31,339.00,11782,9700
02/16/2018,06:33:03,339.00,339.10,338.53,338.56,9796,9771
02/16/2018,06:34:27,338.50,338.83,338.33,338.64,7806,8569
02/16/2018,06:35:36,338.68,339.51,338.67,339.51,15654,5113
02/16/2018,06:36:43,339.50,339.67,339.25,339.40,8212,11169
02/16/2018,06:37:44,339.39,339.47,338.93,339.36,9817,7291
02/16/2018,06:38:32,339.35,339.60,339.05,339.29,8913,8930
02/16/2018,06:40:09,339.20,339.28,338.50,338.83,9514,9495
02/16/2018,06:42:03,338.93,339.32,338.84,339.32,15643,8648
02/16/2018,06:43:02,339.33,339.48,338.81,338.81,7020,8800
02/16/2018,06:45:31,338.97,339.00,338.40,338.56,5842,10501
02/16/2018,06:47:05,338.58,339.53,338.46,339.40,13695,5956
02/16/2018,06:48:17,339.50,339.58,339.04,339.44,11072,12300
02/16/2018,06:50:36,339.41,339.80,339.11,339.74,15255,9541
02/16/2018,06:52:34,339.72,339.72,338.57,338.57,5245,13307
02/16/2018,06:55:42,338.59,339.00,338.59,338.84,11778,10835
02/16/2018,06:57:34,338.84,339.43,338.82,339.42,12464,8399
02/16/2018,06:59:00,339.45,339.54,339.13,339.50,11311,8775
02/16/2018,07:00:41,339.45,339.57,339.06,339.08,8655,11646
02/16/2018,07:03:44,339.07,339.46,338.76,339.09,10830,8839
02/16/2018,07:04:35,339.08,340.00,339.00,340.00,15366,5461
02/16/2018,07:05:11,340.00,340.02,339.49,339.79,16927,4886
02/16/2018,07:06:24,339.74,340.00,339.67,339.83,10549,6950
02/16/2018,07:07:25,339.83,340.59,339.83,340.59,17313,7864
02/16/2018,07:08:02,340.56,341.11,340.56,341.11,9793,15020
02/16/2018,07:08:38,341.00,341.43,340.95,341.38,9668,8927
02/16/2018,07:09:02,341.43,341.75,341.38,341.59,9720,8710
02/16/2018,07:09:38,341.59,341.67,341.16,341.19,12183,7841
02/16/2018,07:10:41,341.21,341.50,340.90,341.48,9216,6343
02/16/2018,07:11:22,341.48,341.63,341.30,341.34,16854,8549
02/16/2018,07:12:53,341.19,341.35,340.97,341.12,8742,8141
02/16/2018,07:15:15,341.12,341.13,340.55,340.55,10127,9904
02/16/2018,07:18:04,340.55,340.65,340.24,340.40,8428,10314
02/16/2018,07:20:04,340.41,340.43,340.06,340.27,7670,8294
02/16/2018,07:22:09,340.28,340.81,340.05,340.51,7998,4984
02/16/2018,07:23:53,340.49,341.39,340.34,341.23,17171,10098
02/16/2018,07:26:22,341.23,341.24,340.78,340.78,8615,8900
02/16/2018,07:29:36,340.78,340.81,340.17,340.53,11811,6197
02/16/2018,07:31:08,340.42,340.75,340.09,340.26,9228,9216
02/16/2018,07:34:33,340.25,340.75,340.11,340.74,9300,7369
02/16/2018,07:37:10,340.74,341.00,340.33,340.87,9630,16065
02/16/2018,07:41:06,340.77,341.20,340.59,341.00,8310,7272
02/16/2018,07:44:40,340.89,341.00,340.60,340.71,10854,9155
02/16/2018,07:48:50,340.70,340.97,340.53,340.57,9301,9800
02/16/2018,07:52:18,340.49,340.79,340.33,340.60,7976,6127
02/16/2018,07:54:27,340.60,341.48,340.59,341.48,11387,6520
02/16/2018,07:56:04,341.49,341.90,341.10,341.86,15215,5136
02/16/2018,07:56:29,341.90,342.17,341.90,342.01,14866,5157
02/16/2018,07:58:19,341.88,342.22,341.61,341.82,6496,30250
02/16/2018,07:59:38,341.82,342.26,341.78,342.22,12718,3931
02/16/2018,08:01:26,342.24,342.60,341.90,341.97,14021,9657
02/16/2018,08:03:09,341.86,342.00,341.21,341.29,6001,12525
02/16/2018,08:04:57,341.25,341.70,341.25,341.65,10546,6948
02/16/2018,08:06:31,341.66,342.28,341.61,342.19,13689,7053
02/16/2018,08:07:53,342.16,342.18,341.41,341.90,5154,10301
02/16/2018,08:11:51,341.75,342.12,341.57,341.99,13840,11141
02/16/2018,08:14:33,341.99,342.12,341.85,341.85,10020,9555
02/16/2018,08:17:11,341.85,342.45,341.59,342.45,14393,7006
02/16/2018,08:19:29,342.50,342.59,342.07,342.36,11253,10585
02/16/2018,08:20:51,342.36,342.70,342.32,342.62,11920,7960
02/16/2018,08:21:57,342.62,342.74,342.50,342.60,7513,8797
02/16/2018,08:23:04,342.66,343.00,342.62,343.00,15742,4329
02/16/2018,08:24:15,343.00,343.12,342.75,343.12,8570,6603
02/16/2018,08:26:07,343.12,343.12,342.65,342.65,8514,8495
02/16/2018,08:27:51,342.85,342.85,342.20,342.26,9607,10236
02/16/2018,08:30:49,342.37,342.75,342.24,342.62,13938,8023
02/16/2018,08:32:54,342.61,343.08,342.52,342.76,9790,11237
02/16/2018,08:35:17,342.67,342.94,342.31,342.42,7586,9532
02/16/2018,08:37:43,342.42,342.59,342.21,342.35,9664,11935
02/16/2018,08:40:19,342.35,342.44,342.14,342.14,7620,20562
02/16/2018,08:42:14,342.08,342.23,341.94,341.96,7054,8012
02/16/2018,08:45:20,341.85,342.00,341.84,341.88,8037,12113
02/16/2018,08:46:46,341.88,341.93,341.82,341.89,5234,8244
02/16/2018,08:49:29,341.91,341.98,341.84,341.84,8374,10618
02/16/2018,08:50:37,341.84,341.90,341.21,341.21,5419,13729
02/16/2018,08:52:00,341.20,341.27,340.35,340.40,6840,21712
02/16/2018,08:52:45,340.36,340.48,339.56,339.67,5713,10815
02/16/2018,08:53:19,339.67,339.97,339.57,339.79,11578,7382
02/16/2018,08:54:05,339.65,340.31,339.60,340.17,10899,6650
02/16/2018,08:55:41,340.18,340.55,339.94,340.12,11911,9709
02/16/2018,08:57:40,340.12,340.50,340.05,340.50,11071,8723
02/16/2018,08:59:15,340.50,340.59,340.13,340.41,10351,8900
02/16/2018,09:00:19,340.40,340.80,340.40,340.79,9353,7550
02/16/2018,09:02:18,340.79,340.79,340.32,340.32,14320,7545
02/16/2018,09:04:35,340.33,340.40,339.64,339.92,9126,9663
02/16/2018,09:06:57,339.92,339.97,339.59,339.74,10299,7718
02/16/2018,09:09:32,339.74,340.08,339.43,339.71,9491,10666
02/16/2018,09:10:51,339.81,339.81,338.84,339.12,6548,11802
02/16/2018,09:12:14,339.12,339.21,338.80,338.86,7654,7990
02/16/2018,09:13:56,339.03,339.11,338.40,338.40,8468,11065
02/16/2018,09:15:52,338.46,339.22,338.29,339.09,15298,12590
02/16/2018,09:17:53,339.09,339.36,338.17,338.34,8151,8890
02/16/2018,09:18:40,338.34,338.36,337.77,337.83,5900,11165
02/16/2018,09:20:02,337.81,338.20,337.80,337.90,9360,11138
02/16/2018,09:20:45,337.86,338.27,337.83,338.12,9868,6871
02/16/2018,09:21:57,338.11,338.69,337.98,338.69,11905,9390
02/16/2018,09:24:10,338.69,339.27,338.41,339.27,13031,8608
02/16/2018,09:26:40,339.26,339.48,338.57,338.57,16284,14383
02/16/2018,09:29:44,338.62,338.89,337.93,338.09,9922,12132
02/16/2018,09:31:24,338.08,338.37,337.21,337.59,9918,11544
02/16/2018,09:32:43,337.55,338.01,337.42,338.01,8938,8343
02/16/2018,09:34:49,337.91,338.11,337.48,338.02,12270,8809
02/16/2018,09:37:19,338.02,339.02,338.02,339.02,16049,10233
02/16/2018,09:40:13,339.03,339.20,338.53,338.86,12365,9851
02/16/2018,09:43:07,338.97,339.33,338.83,339.22,11709,7335
02/16/2018,09:47:24,339.16,339.16,338.07,338.28,8619,17690
02/16/2018,09:48:55,338.25,338.28,337.67,338.01,6961,13223
02/16/2018,09:51:59,338.04,338.26,337.80,337.91,12000,7483
02/16/2018,09:54:13,338.08,338.08,337.32,337.32,8925,10319
02/16/2018,09:55:49,337.32,337.94,337.20,337.66,9589,9299
02/16/2018,09:58:53,337.80,338.11,337.57,338.11,9823,10905
02/16/2018,10:02:16,338.11,338.70,337.73,338.40,10970,10549
02/16/2018,10:05:46,338.30,338.47,337.62,337.81,6075,11619
02/16/2018,10:11:07,337.82,338.42,337.70,338.26,13698,9287
02/16/2018,10:15:21,338.22,338.23,337.39,337.49,7186,14893
02/16/2018,10:16:46,337.36,337.74,337.13,337.13,8845,9139
02/16/2018,10:17:51,337.18,337.18,336.63,336.89,6700,10228
02/16/2018,10:19:14,336.89,337.15,336.49,336.55,12910,11678
02/16/2018,10:20:38,336.54,336.97,336.13,336.27,14323,15205
02/16/2018,10:21:34,336.40,336.55,335.83,336.28,10897,7979
02/16/2018,10:22:07,336.16,336.26,335.33,335.59,7760,15832
02/16/2018,10:22:32,335.58,335.58,335.02,335.29,5891,27328
02/16/2018,10:22:50,335.15,335.53,335.00,335.00,5239,13310
02/16/2018,10:23:25,335.00,335.67,334.54,335.46,5681,14177
02/16/2018,10:24:15,335.46,335.70,335.06,335.48,7519,7880
02/16/2018,10:24:54,335.56,335.65,335.00,335.27,4639,10313
02/16/2018,10:25:29,335.25,335.46,334.81,335.41,6869,7946
02/16/2018,10:26:22,335.56,335.83,334.82,335.29,7531,8992
02/16/2018,10:27:17,335.29,335.59,334.99,335.17,16038,6500
02/16/2018,10:29:32,335.18,336.24,335.02,336.02,10375,8874
02/16/2018,10:31:50,336.05,336.89,335.86,336.48,9645,9056
02/16/2018,10:34:27,336.44,336.88,336.42,336.57,11399,9130
02/16/2018,10:38:23,336.57,336.80,336.23,336.43,11977,11990
02/16/2018,10:40:55,336.49,336.50,335.67,335.68,8076,9511
02/16/2018,10:45:45,335.68,336.02,335.40,335.75,7304,11953
02/16/2018,10:47:55,335.74,335.74,334.83,334.89,4980,15711
02/16/2018,10:50:37,334.99,336.20,334.82,336.04,14791,8394
02/16/2018,10:56:18,335.87,336.25,335.54,335.93,10269,9143
02/16/2018,11:00:03,335.96,337.40,335.96,337.27,11274,11933
02/16/2018,11:03:58,337.27,337.58,335.92,336.01,6685,12222
02/16/2018,11:07:57,336.10,336.53,335.95,336.48,10515,5019
02/16/2018,11:11:40,336.48,337.66,336.42,337.20,11283,12650
02/16/2018,11:16:12,337.13,337.13,336.17,336.36,6815,15310
02/16/2018,11:21:11,336.29,336.43,335.66,336.39,8994,9592
02/16/2018,11:26:01,336.39,336.57,336.12,336.57,9723,8307
02/16/2018,11:29:02,336.57,336.99,336.11,336.12,8320,10098
02/16/2018,11:31:17,336.08,336.90,335.76,336.68,7960,10757
02/16/2018,11:34:04,336.68,336.68,336.00,336.00,5497,10245
02/16/2018,11:35:01,336.00,336.13,335.81,336.05,10558,6746
02/16/2018,11:37:00,336.08,336.39,335.50,336.14,9333,10004
02/16/2018,11:38:57,335.95,336.16,335.24,335.89,8142,10579
02/16/2018,11:40:56,335.80,335.80,335.23,335.30,6587,7772
02/16/2018,11:43:42,335.26,335.65,335.26,335.54,7502,12012
02/16/2018,11:46:10,335.61,336.33,335.51,336.18,18911,6028
02/16/2018,11:48:07,336.18,336.44,336.08,336.30,6836,7732
02/16/2018,11:50:00,336.34,336.50,336.00,336.43,5619,8192
02/16/2018,11:50:53,336.58,336.79,336.02,336.23,8814,6744
02/16/2018,11:52:06,336.23,336.39,336.04,336.22,8842,6092
02/16/2018,11:53:29,336.31,336.32,336.11,336.22,7967,6532
02/16/2018,11:54:49,336.21,336.37,336.11,336.19,6186,8139
02/16/2018,11:56:25,336.22,336.30,336.09,336.11,5326,7120
02/16/2018,11:57:24,336.11,336.20,336.00,336.04,9216,12528
02/16/2018,11:58:21,336.02,336.08,335.61,335.63,4828,14760
02/16/2018,11:58:57,335.63,335.69,335.51,335.68,7291,9878
02/16/2018,11:59:16,335.68,335.73,335.51,335.57,6370,5547
02/16/2018,11:59:40,335.57,335.63,335.35,335.45,7589,8449
02/16/2018,11:59:59,335.51,335.66,335.35,335.49,8892,7362
